date,code,amount,avg_cost,price
2025-11-10,002513.XSHE,106700.0,8.85,8.86
2025-11-11,603306.XSHG,4700.0,52.3,51.74
2025-11-11,002544.XSHE,15100.0,28.79,27.69
2025-11-11,603978.XSHG,7000.0,34.01,36.88
2025-11-11,002326.XSHE,10900.0,22.95,25.04
2025-11-12,002544.XSHE,15100.0,28.79,27.37
2025-11-12,002213.XSHE,35000.0,27.96,28.96
2025-11-13,002544.XSHE,15100.0,28.79,27.39
2025-11-13,002728.XSHE,58300.0,13.32,13.83
2025-11-14,002544.XSHE,15100.0,28.79,27.42
2025-11-14,000688.XSHE,21600.0,25.0,25.22
2025-11-14,600063.XSHG,78800.0,6.72,6.98
2025-11-17,002544.XSHE,15100.0,28.79,27.59
2025-11-17,000688.XSHE,21600.0,25.0,27.74
2025-11-17,002228.XSHE,212600.0,3.92,4.12
2025-11-18,002544.XSHE,15100.0,28.79,27.8
2025-11-18,002228.XSHE,212600.0,3.92,3.82
2025-11-18,000955.XSHE,24300.0,7.54,8.42
2025-11-18,603817.XSHG,20900.0,8.72,8.03
2025-11-18,600078.XSHG,13900.0,13.4,12.34
2025-11-20,001266.XSHE,65400.0,34.57,34.1
2025-11-21,601208.XSHG,1900.0,17.8,17.3
2025-11-25,003009.XSHE,15200.0,55.2,55.45
2025-11-25,600629.XSHG,48700.0,21.96,21.1
2025-11-27,002681.XSHE,110200.0,7.5,7.23
2025-12-01,002544.XSHE,43500.0,29.0,29.35
2025-12-01,600151.XSHG,76600.0,9.46,9.71
2025-12-04,600783.XSHG,43900.0,15.16,14.85
2025-12-08,002194.XSHE,52500.0,12.57,12.81
2025-12-09,001309.XSHE,2600.0,223.0,222.7
2025-12-09,002163.XSHE,48600.0,15.34,15.7
2025-12-10,601566.XSHG,45300.0,15.4,14.41
2025-12-16,000825.XSHE,135200.0,5.12,4.92
2025-12-17,000825.XSHE,135200.0,5.12,4.8
2025-12-18,000825.XSHE,135200.0,5.12,4.83
2025-12-19,000825.XSHE,135200.0,5.12,4.97
2025-12-23,000796.XSHE,93500.0,7.45,7.13
2025-12-23,000505.XSHE,70700.0,8.45,8.51
2025-12-23,000551.XSHE,57700.0,12.79,13.78
2025-12-24,000551.XSHE,57700.0,12.79,15.16
2025-12-26,000559.XSHE,102400.0,13.51,13.63
2025-12-26,002196.XSHE,58900.0,14.32,13.68
2025-12-30,000048.XSHE,58000.0,16.56,17.23
2025-12-30,000420.XSHE,253600.0,4.76,4.61
